Place,Athlete,Class,Team,Time,Points,Year
160,Troy Reeder,SO-2,Furman,32:02.7,136,2014
161,Caleb Rhynard,JR-3,Michigan State,32:03.3,137,2014
162,George Kelly,SO-2,Michigan,32:03.6,138,2014
163,Rorey Hunter,JR-3,Indiana,32:03.7,139,2014
164,Thomas Madden,SO-2,Virginia,32:03.8,140,2014
165,Joel Hubbard,SO-2,Syracuse,32:04.1,141,2014
166,Byron Jones,SR-4,Colorado State,32:04.7,142,2014
167,Matt Fischer,SR-4,Penn State,32:06.0,—,2014
168,Scott Carpenter,SO-2,Georgetown,32:06.7,143,2014
169,Kane Grimster,SR-4,Auburn,32:07.0,—,2014
170,Tom Purnell,JR-3,Harvard,32:08.0,—,2014
171,Ben Carruthers,SR-4,Michigan State,32:08.1,144,2014
172,Eduardo Rodriguez,SR-4,Texas,32:08.8,145,2014
173,Trevor Crawley,SO-2,Providence,32:09.2,146,2014
174,Weaverling Chase,FR-1,Virginia,32:09.5,147,2014
175,Travis Neuman,FR-1,Oregon,32:09.9,148,2014
176,Will Nation,SR-4,Texas,32:10.9,149,2014
177,Kieran Clements,SO-2,Iona,32:11.8,150,2014
178,Alex Cornwell,SR-4,New Mexico,32:12.6,151,2014
179,Ronald Korir,FR-1,Eastern Kentucky,32:13.3,152,2014
180,Daniel Cheruiyot,SO-2,UTEP,32:14.4,153,2014
181,Matthew Melancon,JR-3,Oregon,32:17.1,154,2014
182,Stephen Schroeder,JR-3,Navy,32:19.0,—,2014
183,Alex George,FR-1,Arkansas,32:20.5,155,2014
184,Scott Morgan,SR-4,North Carolina,32:20.6,156,2014
185,Christoph Graf,JR-3,South Alabama,32:24.1,—,2014
186,Benjamin Preisner,FR-1,Tulsa,32:25.2,157,2014
187,Daniel Everett,SR-4,Columbia,32:25.8,—,2014
188,Michael Hall,FR-1,Florida State,32:26.3,158,2014
189,David Osborn,SR-4,Oklahoma State,32:27.0,159,2014
190,Nicholas Posada,JR-3,Michigan,32:27.3,160,2014
191,Brady Turnbull,JR-3,Texas,32:28.3,161,2014
192,Adam Hartman,SO-2,Colorado State,32:28.8,162,2014
193,Amos Kosgey,SO-2,Eastern Kentucky,32:30.2,163,2014
194,Joe Sansone,SO-2,North Carolina,32:30.6,164,2014
195,Colby Gilbert,FR-1,Washington,32:31.9,165,2014
196,Tyler Udland,SR-4,Florida State,32:32.0,166,2014
197,Antony Taylor,SR-4,Florida State,32:32.2,167,2014
198,Johannes Motschmann,FR-1,Iona,32:32.6,168,2014
199,Adam Palamar,SO-2,Tulsa,32:32.8,169,2014
200,Ibrahim Ahmed,SO-2,Southern Utah,32:33.8,170,2014
201,Sam Stabler,SR-4,Lamar,32:34.0,—,2014
202,Adam Peterman,FR-1,Colorado,32:36.8,171,2014
203,Daniel Bulmer,SR-4,Mississippi,32:37.6,172,2014
204,Ty McCormack,SR-4,Auburn,32:38.6,—,2014
205,Dan Curts,FR-1,Iowa State,32:40.2,—,2014
206,Aaron Baumgarten,FR-1,Michigan,32:40.8,173,2014
207,Taylor Caldwell,FR-1,Mississippi,32:42.5,174,2014
208,Ferdinand Edman,SO-2,UCLA,32:43.6,175,2014
209,Gabe Gonzales,JR-3,Arkansas,32:45.3,176,2014
210,Mark Hadley,FR-1,Furman,32:45.3,177,2014
211,Trevor Gilley,SO-2,Mississippi,32:47.9,178,2014
212,Brock Baker,SO-2,Furman,32:48.3,179,2014
213,Nick Soter,SO-2,Michigan State,32:50.0,180,2014
214,Dylan Marx,SR-4,Southern Utah,32:50.7,181,2014
215,Jose Madera,SR-4,San Francisco,32:51.6,—,2014
216,Fred Huxham,FR-1,Washington,32:52.1,182,2014
217,Amos Bowen,JR-3,Wyoming,32:53.2,—,2014
218,Aidan Swain,SO-2,Arkansas,32:55.0,183,2014
219,Liam Hillery,SR-4,Providence,32:57.8,184,2014
220,Jake McDonnell,JR-3,Tulsa,32:58.6,185,2014
221,Danny Thater,SR-4,Tulsa,32:59.6,186,2014
222,Connor Hendrickson,FR-1,Texas,32:59.8,187,2014
223,Mark Robertson,FR-1,Mississippi,33:00.1,188,2014
224,Brian Barraza,SO-2,Houston,33:01.9,—,2014
225,Jakob Abrahamsen,FR-1,Eastern Kentucky,33:04.6,189,2014
226,Adam Visokay,SO-2,Virginia,33:14.4,190,2014
227,Christian Heymsfield,SO-2,Arkansas,33:14.5,191,2014
228,Trevor Hopper,FR-1,Virginia,33:17.2,192,2014
229,Austen Dalquist,FR-1,Arkansas,33:18.7,193,2014
230,Jacob Pickle,FR-1,Texas,33:19.9,194,2014
231,Istvan Szogi,FR-1,Southern Utah,33:25.6,195,2014
232,Kieran Reilly,FR-1,Indiana,33:32.0,196,2014
233,Elphas Maiyo,JR-3,UTEP,33:33.5,197,2014
234,Andrew Cusmano,JR-3,Michigan State,33:35.0,198,2014
235,Charles Mathenge,SO-2,Stephen F. Austin,33:38.8,—,2014
236,Andrew Goodman,SR-4,Colorado State,33:39.6,199,2014
237,Sean Vandermosten,SR-4,Eastern Kentucky,33:41.8,200,2014
238,Austin O’Neil,SO-2,UCLA,34:09.8,201,2014
239,Adam Roderique,FR-1,Tulsa,34:14.9,202,2014
240,Otniel Teixeira,SO-2,Florida State,34:15.2,203,2014
241,Tripp Hurt,SR-4,Furman,34:16.5,204,2014
242,Stanley Linton,SO-2,Florida State,34:27.1,205,2014
243,Clinton Rhoton,SR-4,Southern Utah,34:28.8,206,2014
244,AJ Yarnall,FR-1,Washington,34:38.6,207,2014
245,Evans Kiprono,SO-2,UTEP,34:46.3,208,2014
246,Ramon Garcia,SR-4,UTEP,37:13.7,209,2014
1,Edward Cheserek,FR,Oregon,29:41.1,1,2013
2,Kennedy Kithuka,SR,Texas Tech,29:59.1,—,2013
3,Maksim Korolev,SR,Harvard,29:59.5,2,2013
4,Futsum Zienasellassie,SO,Northern Arizona,30:05.7,3,2013
5,Jim Rosa,JR,Stanford,30:08.9,4,2013
6,Stanley Kebenei,JR,Arkansas,30:10.1,5,2013
7,Andrew Colley,SR,N.C. State,30:12.5,6,2013
8,Ben Saarel,FR,Colorado,30:14.1,7,2013
9,Patrick Tiernan,FR,Villanova,30:15.7,8,2013
10,Luke Caldwell,SR,New Mexico,30:17.2,9,2013
11,Ryan Dohner,SR,Texas,30:18.1,10,2013
12,Trent Lusignan,JR,South Dakota St.,30:18.8,—,2013
13,Scott Fauble,JR,Portland,30:21.3,11,2013
14,Will Geoghegan,SR,Dartmouth,30:22.1,12,2013
15,Craig Lutz,JR,Texas,30:22.9,13,2013
16,Thomas Farrell,SR,Oklahoma State,30:23.5,14,2013
17,Morgan Pearson,SO,Colorado,30:25.0,15,2013
18,Kyle King,SO,Virginia,30:27.3,16,2013
19,Anthony Rotich,SO,UTEP,30:27.3,—,2013
20,Aaron Nelson,JR,Washington,30:27.4,—,2013
21,Tylor Thatcher,SR,BYU,30:29.2,17,2013
22,Mason Ferlic,JR,Michigan,30:32.8,18,2013
23,Blake Theroux,SR,Colorado,30:34.6,19,2013
24,Mohamed Hrezi,SR,Iowa State,30:35.3,—,2013
25,Matt McElroy,JR,Northern Arizona,30:36.0,20,2013
26,Soufiane Bouchikhi,SR,Eastern Kentucky,30:36.5,21,2013
27,Sam McEntee,JR,Villanova,30:36.7,22,2013
28,Brian Shrader,SR,Northern Arizona,30:37.3,23,2013
29,Tyler Byrne,JR,Louisville,30:37.8,—,2013
30,Nico Composto,SR,Columbia,30:37.8,24,2013
31,Shadrack Kipchirchir,SR,Oklahoma State,30:37.8,25,2013
32,John Mascari,SO,Indiana State,30:38.5,—,2013
33,Malachy Schrobilgen,FR,Wisconsin,30:39.1,26,2013
34,Caleb Rhynard,SO,Michigan State,30:41.4,—,2013
35,Martin Grady,SR,Notre Dame,30:43.3,27,2013
36,Jared Ward,SR,BYU,30:43.6,28,2013
37,Matt McClintock,SO,Purdue,30:44.2,—,2013
38,Daniel Clorley,SR,Iona,30:44.5,29,2013
39,Pierce Murphy,SO,Colorado,30:44.9,30,2013
40,Ty McCormack,JR,Auburn,30:45.4,—,2013
41,Tom Curr,JR,Butler,30:46.4,—,2013
42,Shane Quinn,JR,Providence,30:47.8,31,2013
43,Alex Brill,SR,Wisconsin,30:50.6,32,2013
44,Benjamin Connor,JR,Providence,30:51.4,33,2013
45,Evan Esselink,JR,Indiana,30:51.9,34,2013
46,Kemoy Campbell,SR,Arkansas,30:52.2,35,2013
47,Tyler Udland,SR,Princeton,30:53.5,36,2013
48,Jason Crist,FR,Indiana,30:53.9,37,2013
49,Mark Parrish,SR,Florida,30:54.5,38,2013
50,Chris O’Hare,SR,Tulsa,30:54.6,39,2013
51,Robert Molke,SR,Syracuse,30:55.0,40,2013
52,Carl Smith,FR,Indiana,30:55.6,41,2013
53,Pat Zacharias,JR,New Mexico,30:55.9,42,2013
54,Parker Stinson,SR,Oregon,30:56.2,43,2013
55,Griff Graves,SR,Syracuse,30:56.6,44,2013
56,Isaiah Bragg,SR,Air Force,30:57.1,45,2013
57,Kieran Clements,FR,Iona,30:57.9,46,2013
58,Tanguy Pepiot,JR,Oregon,30:58.4,47,2013
59,Mj Erb,FR,Syracuse,30:59.6,48,2013
60,Charlie McDonald,SR,Portland,30:59.7,49,2013
61,Adam Bitchell,SR,New Mexico,31:00.1,50,2013
62,Craig Nowak,SO,Oklahoma State,31:00.2,51,2013
63,Thomas Porter,SR,Virginia,31:00.4,52,2013
64,Ryan Walling,JR,North Carolina,31:01.0,53,2013
65,Garrett Zans,SR,Wyoming,31:01.3,—,2013
66,Ryan Poland,JR,Portland,31:01.6,54,2013
67,Tyler Mueller,SR,Lehigh,31:01.7,—,2013
68,Jonathan Nelson,SO,BYU,31:02.1,55,2013
69,Thomas Curtin,JR,Virginia Tech,31:02.4,—,2013
70,Julian Saad,SR,Providence,31:02.5,56,2013
71,Jake Byrne,JR,Iona,31:03.1,57,2013
72,Lucas Baker,SR,Georgia,31:03.3,58,2013
73,Alejandro Arroyo Yamin,SR,Princeton,31:03.5,59,2013
74,Wade Meddles,SR,Eastern Kentucky,31:03.7,60,2013
75,Josh Hardin,SR,Northern Arizona,31:04.2,61,2013
76,Nathan Weitz,SO,Northern Arizona,31:04.6,62,2013
77,Mac Fleet,SR,Oregon,31:05.0,63,2013
78,Matt Fischer,JR,Penn State,31:06.2,—,2013
79,Matt Johnsen,SR,Lamar,31:08.1,—,2013
80,Pat Schellberg,JR,North Carolina,31:09.0,64,2013
81,Matthew Schwartzer,SO,Indiana,31:09.6,65,2013
82,Paul Chelimo,SR,UNC-Greensboro,31:10.0,—,2013
83,Kirubel Erassa,JR,Oklahoma State,31:10.1,66,2013
84,Jeremy Rae,SR,Notre Dame,31:11.1,67,2013
85,Erik Olson,SR,Stanford,31:13.1,68,2013
86,Mark Beams,SR,Michigan,31:13.2,69,2013
87,Jason Witt,SR,BYU,31:13.8,70,2013
88,John Raneri,JR,North Carolina,31:14.0,71,2013
89,Patrick Corona,SO,Air Force,31:14.1,72,2013
90,Alex Hatz,JR,Wisconsin,31:14.7,73,2013
91,Brian Gohlke,SO,Oklahoma State,31:15.1,74,2013
92,Matt Gillespie,SR,Iona,31:16.5,75,2013
93,Zach Herriott,FR,Virginia,31:16.7,76,2013
94,Andrew Kowalsky,JR,Iona,31:17.1,77,2013
95,Ammar Moussa,SO,Colorado,31:17.1,78,2013
96,Christian Meyer,SR,Colorado State,31:17.2,79,2013
97,Alex Muntefering,SR,Colorado State,31:18.0,80,2013
98,Kevin Dooney,SO,Yale,31:18.5,—,2013
99,Ben Flanagan,FR,Michigan,31:18.8,81,2013
100,Michael Atchoo,SR,Stanford,31:19.7,82,2013
101,Gavin Owens,SR,Air Force,31:19.8,83,2013
102,David Perry,JR,Portland,31:20.3,84,2013
103,Jacob Naylor,SR,Wisconsin,31:20.7,85,2013
104,Solomon Haile,SR,Arkansas,31:21.5,86,2013
105,Ole Hesselbjerg,JR,Eastern Kentucky,31:22.4,87,2013
106,Andrew Heyes,SR,Tulsa,31:23.0,88,2013
107,Zach Perrin,FR,Colorado,31:23.3,89,2013
108,Isaac Presson,SR,North Carolina,31:23.9,90,2013
109,Gabe Gonzales,SO,Arkansas,31:23.9,91,2013
110,Henry Sterling,SR,Dartmouth,31:24.1,92,2013
111,Eric Causey,SO,San Francisco,31:24.4,—,2013
112,Sam Pons,JR,Princeton,31:24.6,93,2013
113,Martin Hehir,SO,Syracuse,31:25.0,94,2013
114,Isaac Spencer,JR,Texas A&M,31:25.1,—,2013
115,Jannis Topfer,SR,Illinois,31:25.5,—,2013
116,Danny Martinez,FR,Portland,31:25.5,95,2013
117,Jacob Morgan,SO,Colorado State,31:26.0,96,2013
118,Spencer Gardner,JR,BYU,31:26.6,97,2013
119,Chris Frias,SR,Cal Poly,31:26.9,—,2013
120,Thomas Gruenewald,SR,BYU,31:27.7,98,2013
121,Jake Sienko,SR,Columbia,31:28.4,99,2013
122,Paul Katam,JR,UNC-Greensboro,31:28.6,—,2013
123,Adam Visokay,FR,Virginia,31:31.2,100,2013
124,Jimmy Clark,JR,Florida,31:31.7,101,2013
125,Mark Pinales,JR,Texas,31:32.0,102,2013
126,Kelton Cullenberg,SR,Maine,31:32.1,—,2013
127,Ryan Urie,JR,Syracuse,31:33.0,103,2013
128,Ambrose Maritim,FR,Eastern Kentucky,31:33.1,104,2013
129,Andrew Springer,SR,Georgetown,31:33.8,—,2013
130,Charles Perkins,SR,Air Force,31:34.7,105,2013
131,Ross Matheson,JR,New Mexico,31:35.2,106,2013
132,Michael Clevenger,SO,Notre Dame,31:36.0,107,2013
133,Thijs Nijhuis,JR,Eastern Kentucky,31:36.7,108,2013
134,Matt McDonald,JR,Princeton,31:37.5,109,2013
135,Robert Finnerty,SR,Wisconsin,31:37.8,110,2013
136,Brandon Lord,SR,Georgia,31:39.1,111,2013
137,Steve Flint,JR,BYU,31:39.9,112,2013
138,Will Firth,SO,Rice,31:40.4,—,2013
139,Caleb Hoover,JR,Northern Arizona,31:41.0,113,2013
140,Zach Perkins,JR,Air Force,31:42.3,114,2013
141,Shane Moskowitz,JR,Oklahoma State,31:42.9,115,2013
142,Reid Buchanan,JR,Kansas,31:44.0,—,2013
143,Brian Basili,JR,Villanova,31:44.5,116,2013
144,Ernest Kibet,SO,Louisville,31:45.5,—,2013
145,J.P. Malette,SR,Notre Dame,31:45.8,117,2013
146,Collin Smith,SR,Texas,31:46.0,118,2013
147,Christopher Stogsdill,SR,Iona,31:46.5,119,2013
148,Wesley Gallagher,SO,Northeastern,31:46.6,—,2013
149,Jake Leingang,FR,Oregon,31:46.8,120,2013
150,Eddie Garcia,JR,Florida,31:47.3,121,2013
151,Joe Whelan,SR,Syracuse,31:48.0,122,2013
152,Jeff Howard,SR,Boise State,31:48.5,—,2013
153,Patrick Rono,SO,Arkansas,31:48.6,123,2013
154,Morsi Rayyan,SR,Michigan,31:49.2,124,2013
155,Scott Morgan,JR,North Carolina,31:50.2,125,2013
156,Thomas Madden,FR,Virginia,31:50.9,126,2013
157,Sean Stam,SR,New Mexico,31:51.2,127,2013
158,Michael Vanvoorhis,JR,Wisconsin,31:51.9,128,2013
159,Jr Ricker,JR,Indiana,31:52.1,129,2013
160,Robert Denault,SO,Villanova,31:53.2,130,2013
161,Sean McGorty,FR,Stanford,31:53.8,131,2013
162,Tyler Stutzman,SR,Stanford,31:54.1,132,2013
163,Chris Galvin,SR,Texas,31:54.5,133,2013
164,Harvey Dixon,SO,Providence,31:55.0,134,2013
165,Steve Mangan,SR,Dartmouth,31:55.4,135,2013
166,David Flynn,SR,Arkansas,31:55.7,136,2013
167,Ryan Barrus,SR,Southern Utah,31:55.7,—,2013
168,Tim Rackers,JR,Tulsa,31:56.8,137,2013
169,Drew Paisley,SR,Virginia,31:58.0,138,2013
170,Harry Warnick,FR,Villanova,31:59.2,139,2013
171,Jack Boyle,FR,Columbia,31:59.6,140,2013
172,Tony Smoragiewicz,SO,Michigan,31:59.8,141,2013
173,Brian Doyle,JR,Providence,32:01.1,142,2013
174,John Bleday,SR,Dartmouth,32:01.6,143,2013
175,George Parsons,FR,N.C. State,32:01.7,144,2013
176,Thomas Awad,SO,Penn,32:01.9,—,2013
177,Connor Winter,JR,Colorado,32:02.2,145,2013
178,Edward Crawford,SO,N.C. State,32:02.7,146,2013
179,Robby Nierman,SR,Indiana,32:02.9,147,2013
180,Matt Miller,SR,Belmont,32:07.2,—,2013
181,Charles Sparks,SR,Georgia,32:07.5,148,2013
182,Will Geiken,JR,Harvard,32:08.1,149,2013
183,Christopher Foley,JR,Virginia,32:09.0,150,2013
184,Craig Hunt,SR,Central Connecticut,32:09.0,—,2013
185,Mike O’Dowd,SO,Iona,32:09.5,151,2013
186,Elmar Engholm,SO,New Mexico,32:10.2,152,2013
187,Austin Roth,SR,Texas,32:10.4,153,2013
188,Alex Tully,SR,Villanova,32:10.6,154,2013
189,Michael Mansy,JR,N.C. State,32:10.7,155,2013
190,John Gregorek,SR,Columbia,32:11.0,156,2013
191,Jake Erschen,JR,Wisconsin,32:11.1,157,2013
192,Peter Okwera,SR,Tennessee,32:12.5,—,2013
193,Marc Scott,SO,Tulsa,32:13.3,158,2013
194,Reed Kamyszek,JR,Syracuse,32:14.2,159,2013
195,Garrett Sweatt,SO,Stanford,32:14.5,160,2013
196,Joe Kotran,SR,Columbia,32:14.7,161,2013
197,Cory Glines,FR,Michigan,32:15.3,162,2013
198,Tom Purnell,SO,Harvard,32:16.1,163,2013
199,Alex Dillard,FR,Portland,32:16.2,164,2013
200,Andy Trouard,FR,Northern Arizona,32:17.6,165,2013
201,Tim Ball,SO,Notre Dame,32:18.2,166,2013
202,Elliot Myers,JR,Air Force,32:20.3,167,2013
203,Ben Larson,SR,Colorado State,32:21.4,168,2013
204,Brian Masterson,SO,Dartmouth,32:23.4,169,2013
205,Jordan Williamsz,SO,Villanova,32:24.1,170,2013
206,Riley Coates,JR,Air Force,32:25.3,171,2013
207,Connor Martin,JR,Princeton,32:26.1,172,2013
208,Adam Cotton,JR,Harvard,32:26.8,173,2013
209,Chris Bendtsen,SR,Princeton,32:27.7,174,2013
210,Rorey Hunter,SO,Indiana,32:28.5,175,2013
211,Joseph Manilafasha,SR,Oklahoma State,32:29.4,176,2013
212,Jake Kildoo,JR,Notre Dame,32:29.8,177,2013
213,Daniel Everett,JR,Columbia,32:30.6,178,2013
214,Jacob Thomson,FR,N.C. State,32:30.7,179,2013
215,Ben Toroitich,JR,Eastern Kentucky,32:30.9,180,2013
216,Tim Gorman,SO,Dartmouth,32:31.8,181,2013
217,August Pappas,SO,Michigan,32:32.3,182,2013
218,Andrew Goodman,JR,Colorado State,32:32.7,183,2013
219,Joe Sansone,FR,North Carolina,32:33.7,184,2013
220,Bryant Blahnik,JR,Florida State,32:33.7,—,2013
221,Zack Sims,JR,Georgia,32:34.2,185,2013
222,Julian Oakley,SO,Providence,32:34.5,186,2013
223,Donovan Torres,SO,New Mexico,32:34.6,187,2013
224,Steven Spevacek,SO,Georgia,32:35.0,188,2013
225,Eduardo Rodriguez,JR,Texas,32:35.4,189,2013
226,Eddie Owens,JR,Princeton,32:36.1,190,2013
227,Kurt Ruegg,SR,Harvard,32:38.7,191,2013
228,Silas Talbot,JR,Dartmouth,32:42.2,192,2013
229,Ash Harrell,SR,Lamar,32:44.3,—,2013
230,Erwin Leysen,SR,Eastern Kentucky,32:48.5,193,2013
231,Chris Allen,SO,Harvard,32:53.2,194,2013
232,John-Logan Hines,JR,Florida,32:53.7,195,2013
233,Cale Wallace,SO,Arkansas,32:55.3,196,2013
234,Chris Enriquez,JR,Long Beach St.,32:58.9,—,2013
235,Walter Schafer,SR,Notre Dame,33:04.1,197,2013
236,Sam Roberson,FR,N.C. State,33:05.8,198,2013
237,Carlos Miranda,FR,Florida,33:13.4,199,2013
238,Liam Hillery,JR,Providence,33:13.9,200,2013
239,Matthew Melancon,SO,Oregon,33:16.1,201,2013
240,Jefferson Abbey,FR,Colorado State,33:16.9,202,2013
241,Ben Golestan,SO,Columbia,33:19.9,203,2013
242,Sid Vaughn,SO,Georgia,33:21.6,204,2013
243,Matt Valeriani,JR,North Carolina,33:22.6,205,2013
244,Danny Thater,JR,Tulsa,33:25.8,206,2013
245,Mac Reynolds,FR,Florida,33:28.6,207,2013
246,Marco Bertolotti,JR,Stanford,33:29.8,208,2013
247,Daniel Winn,JR,Oregon,33:31.3,209,2013
248,Robert Mintz,SO,N.C. State,33:32.3,210,2013
249,Harsha Torke,SO,Florida,33:40.7,211,2013
250,Emmett Cookson,SR,Tulsa,33:43.8,212,2013
251,Brendan Hoban,JR,Georgia,33:47.7,213,2013
252,Adam Hartman,FR,Colorado State,33:54.0,214,2013
253,James Leakos,SR,Harvard,36:39.7,215,2013
1,Kennedy Kithuka,JR,Texas Tech,28:31.3,,2012
2,Stephen Sambu,SR,Arizona,28:38.6,,2012
3,Lawi Lalang,SO,Arizona,28:51.8,,2012
4,Anthony Rotich,FR,UTEP,29:13.5,,2012
5,Henry Lelei,SR,Texas A&M,29:14.8,,2012
6,Girma Mecheso,SR,OK State,29:14.8,,2012
7,David Rooney,SR,McNeese State,29:21.3,,2012
8,Mohammed Ahmed,SR,Wisconsin,29:23.9,,2012
9,Tom Farrell,JR,OK State,29:26.3,,2012
10,Paul Chelimo,JR,UNC-Greensboro,29:29.8,,2012
11,Maverick Darling,SR,Wisconsin,29:30.5,,2012
12,Reed Connor,SR,Wisconsin,29:31.4,,2012
13,Zachary Mayhew,SR,Indiana,29:32.8,,2012
14,Jared Ward,JR,BYU,29:33.4,,2012
15,Brian Shrader,JR,N. Arizona,29:37.7,,2012
16,Andrew Colley,JR,N.C. State,29:39.5,,2012
17,Kemoy Campbell,JR,Arkansas,29:41.5,,2012
18,Shadrack Kipchirchir,JR,OK State,29:43.0,,2012
19,Ryan Dohner,JR,Texas,29:43.2,,2012
20,Chris O’Hare,JR,Tulsa,29:46.4,,2012
21,Jakub Zivec,JR,FL State,29:47.7,,2012
22,Zach Gates,SR,Virginia,29:48.3,,2012
23,Mitch Goose,SR,Iona,29:48.7,,2012
24,Joseph Manilafasha,JR,OK State,29:48.8,,2012
25,Lane Werley,SO,UCLA,29:49.5,,2012
26,Scott Fauble,SO,Portland,29:50.8,,2012
27,Luke Caldwell,JR,New Mexico,29:52.0,,2012
28,Breandan O’Neill,SR,FL State,29:52.7,,2012
28,William Mulherin,SR,VA Tech,29:52.7,,2012
30,Peter Okwera,SO,Tennessee,29:53.9,,2012
31,Futsum Zienasellassie,FR,N. Arizona,29:54.1,,2012
32,Jake Hurysz,JR,Colorado,29:55.3,,2012
33,Matt Johnsen,JR,Lamar,29:56.2,,2012
34,Tylor Thatcher,JR,BYU,29:58.0,,2012
35,Joseph Chebet,SR,W. Kentucky,29:58.0,,2012
36,Aric VanHalen,SR,Colorado,29:58.1,,2012
37,Travis Mahoney,SR,Temple,29:58.6,,2012
38,Wade Meddles,JR,E. Kentucky,29:59.7,,2012
39,Blake Theroux,SO,Colorado,29:59.9,,2012
40,Soufiane Bouchikhi,JR,E. Kentucky,30:02.6,,2012
41,Trevor Dunbar,SR,Oregon,30:04.8,,2012
42,Gilbert Kemboi,SR,USC Upstate,30:06.9,,2012
43,Chris Bendtsen,JR,Princeton,30:07.6,,2012
44,Andy Heyes,SR,Tulsa,30:10.7,,2012
45,Pierce Murphy,FR,Colorado,30:11.8,,2012
46,Hunter Mickow,SR,Illinois,30:12.5,,2012
47,Solomon Haile,JR,Arkansas,30:14.5,,2012
48,Benjamin Johnson,SR,Stanford,30:15.9,,2012
49,Robert Finnerty,SR,Wisconsin,30:16.3,,2012
50,Rory Tunningley,SR,Texas,30:17.8,,2012
51,Bill Kogel,SR,Oklahoma,30:19.8,,2012
52,Martin Grady,JR,Notre Dame,30:20.0,,2012
53,Shane Moskowitz,SO,OK State,30:22.6,,2012
54,Nate Jewkes,JR,Southern Utah,30:22.8,,2012
55,Joe Whelan,JR,Syracuse,30:23.1,,2012
56,Max Storms,SR,Missouri,30:23.2,,2012
57,William Kincaid,SO,Portland,30:23.3,,2012
58,Alejandro Arroyo Yamin,JR,Princeton,30:24.4,,2012
59,Jim Spisak,SR,Duquesne,30:25.0,,2012
60,John Mascari,FR,IN State,30:25.6,,2012
61,Mark Feigen,SR,Columbia,30:25.8,,2012
62,David Forrester,SR,FL State,30:26.2,,2012
63,Andrew Springer,JR,Georgetown,30:27.4,,2012
64,Jannis Topfer,JR,Illinois,30:27.6,,2012
65,Connor Winter,FR,Colorado,30:28.7,,2012
66,Matt McElroy,SO,N. Arizona,30:29.3,,2012
67,Patrick Casey,SR,Oklahoma,30:29.7,,2012
68,James Hodges,SR,Texas A&M,30:30.1,,2012
69,Joey Bywater,SR,Washington,30:30.1,,2012
69,Shane Quinn,SO,Providence,30:30.1,,2012
71,Griff Graves,SR,Syracuse,30:30.4,,2012
72,Mark Amirault,SR,Virginia,30:30.4,,2012
73,Riley Masters,SR,Oklahoma,30:30.5,,2012
74,Jake Sienko,JR,Columbia,30:30.8,,2012
75,Caleb Hoover,SO,N. Arizona,30:31.2,,2012
76,Paul Katam,SO,UNC-Greensboro,30:31.3,,2012
77,Wesley Rickman,SR,FL State,30:31.4,,2012
78,Kevin Williams,SR,Oklahoma,30:33.4,,2012
79,Tyler Udland,JR,Princeton,30:33.5,,2012
80,Nathan Weitz,FR,N. Arizona,30:35.0,,2012
81,Paulo Pinheiro,SR,Tulsa,30:36.0,,2012
82,Leoule Degfae,JR,VA Tech,30:36.3,,2012
83,Eric Fernandez,SR,Arkansas,30:36.6,,2012
84,Conner Peloquin,JR,BYU,30:36.7,,2012
85,Elmar Engholm,FR,New Mexico,30:36.7,,2012
86,Dustin Fay,JR,UCLA,30:37.1,,2012
87,Erik Olson,SO,Stanford,30:37.3,,2012
88,Thomas Curtin,SO,VA Tech,30:37.9,,2012
89,Ryan Poland,SO,Oklahoma,30:38.6,,2012
90,David McDonald,SR,UCLA,30:38.7,,2012
91,Thomas Gruenewald,JR,BYU,30:39.0,,2012
92,Max Straneva,SO,Syracuse,30:39.2,,2012
93,Marc Scott,FR,Tulsa,30:39.3,,2012
94,Josh McCabe,SR,Utah Valley,30:39.8,,2012
95,Danny Thater,SO,Tulsa,30:40.5,,2012
96,Brett Richardson,SR,Georgia,30:41.1,,2012
97,Matthew Melancon,FR,Oregon,30:41.2,,2012
98,Kyle Merber,SR,Texas,30:42.6,,2012
99,Kyle King,FR,Virginia,30:42.8,,2012
100,Mike Murphy,SR,Columbia,30:43.2,,2012
101,Mark Beams,JR,Michigan,30:43.2,,2012
102,Kirubel Erassa,SO,OK State,30:44.8,,2012
103,Matt McClintock,FR,Purdue,30:45.1,,2012
104,Robby Nierman,JR,Indiana,30:45.1,,2012
105,Patrick McGregor,JR,Texas,30:46.4,,2012
106,Steve Flint,SO,BYU,30:48.7,,2012
107,Brandon Lord,JR,Georgia,30:49.3,,2012
108,Mathew Mildenhall,SR,Villanova,30:50.0,,2012
109,Thomas Porter,SO,Virginia,30:50.4,,2012
110,Trevor Van Ackeren,SR,Texas,30:50.9,,2012
111,Todd Wakefield,SO,Wash. State,30:51.0,,2012
112,Joe Rosa,SO,Stanford,30:51.2,,2012
113,Alex Hatz,SO,Wisconsin,30:52.2,,2012
114,Luis Orta,SR,Kentucky,30:52.3,,2012
115,Lars Erik Malde,SR,Portland,30:52.5,,2012
116,JR Ricker,SO,Indiana,30:52.6,,2012
117,J.P. Malette,SR,Notre Dame,30:53.5,,2012
118,Donald Roys,SR,Ohio State,30:53.6,,2012
119,Xavier Rodriguez,SR,Steph F. Austin,30:54.5,,2012
120,Lucas Baker,JR,Georgia,30:54.7,,2012
121,Brian Detweiler,SR,Georgia,30:55.7,,2012
122,Martin Hehir,FR,Syracuse,30:55.8,,2012
