Place,Athlete,Class,Team,Time,Points,Year
162,Baidy Ba,JR,Kent State,31:11.9,—,2023
163,Matthew Neill,SO,Florida State,31:12.4,132,2023
164,Isaiah Givens,FR,Colorado,31:12.6,133,2023
165,Rob McManus,JR,Montana State,31:13.3,134,2023
166,Jayden Nats,SO,Air Force,31:13.3,135,2023
167,Nikodem Dworczak,SR,Eastern Kentucky,31:14.1,136,2023
168,Connor Livingston,SR,Princeton,31:16.1,137,2023
169,Victor Neiva,JR,North Texas,31:16.2,—,2023
170,Carter Solomon,JR,Notre Dame,31:16.5,138,2023
171,Hunter Jones,FR,Wake Forest,31:17.0,139,2023
172,Nathan Mountain,SO,Virginia,31:17.2,140,2023
173,Luke Henseler,SR,Pittsburgh,31:18.1,—,2023
174,Thomas Termote,SO,New Mexico,31:18.5,141,2023
175,Jarrett Kirk,SR,Princeton,31:19.6,142,2023
176,Ezekiel Rop,SR,Iowa State,31:21.0,143,2023
177,Sean Kay,JR,Yale,31:21.0,—,2023
178,James Overberg,SO,Colorado,31:21.3,144,2023
179,Will Allen,SO,Air Force,31:21.9,145,2023
180,Luke Venhuizen,SO,Michigan,31:27.3,146,2023
181,Isaac Hedengren,FR,BYU,31:27.8,147,2023
182,Henry Myers,SR,Villanova,31:28.0,148,2023
183,Sam Ells,FR,Montana State,31:28.8,149,2023
184,Aidan Ross,FR,Wake Forest,31:30.0,150,2023
185,Leo Young,FR,Stanford,31:31.6,151,2023
186,Teddy Buckley,JR,Portland,31:32.8,152,2023
187,Yaseen Abdalla,SR,Tennessee,31:34.5,153,2023
188,Rowen Ellenberg,JR,Wisconsin,31:34.6,154,2023
189,Damien Dilcher,JR,Iona,31:36.2,155,2023
190,Ian Harrison,JR,NC State,31:37.6,156,2023
191,Logan Law,FR,Gonzaga,31:37.9,157,2023
192,Zach Hughes,JR,NC State,31:38.6,158,2023
193,David Slapak,FR,Butler,31:39.6,159,2023
194,Nolan Hosbein,SO,Portland,31:40.1,160,2023
195,Zach Stewart,SR,Michigan,31:41.0,161,2023
196,Sam Burgess,FR,Harvard,31:41.6,162,2023
197,Ryan Kredell,SR,Villanova,31:41.6,163,2023
198,Brian Kiptoo,SO,Middle Tennessee,31:41.9,—,2023
199,Lucas Guerra,SO,Georgetown,31:42.8,164,2023
200,Rynard Swanepoel,JR,Wake Forest,31:43.4,165,2023
201,Jacob Hunter,SR,Virginia,31:45.6,166,2023
202,Jake Derouin,SO,Colorado,31:46.3,167,2023
203,Abdirizak Ibrahim,SR,Florida State,31:49.6,168,2023
204,Abraham Avila-Martinez,JR,Texas,31:50.4,169,2023
205,Will Minnette,JR,Butler,31:51.4,170,2023
206,Nick Soldevere,JR,Iona,31:52.8,171,2023
207,Matthew Larkin,JR,New Mexico,31:54.4,172,2023
208,Hudson Heikkinen,SO,Texas,31:55.3,173,2023
209,Joe Ewing,SO,Harvard,31:55.9,174,2023
210,Samuel Field,JR,New Mexico,31:57.2,175,2023
211,Pedro Marin,FR,Cal Baptist,32:01.4,176,2023
212,Zachary Cloud,SR,Florida State,32:01.5,177,2023
213,Cooper Laird,JR,Gonzaga,32:03.2,178,2023
214,Paul Talens,SO,Gonzaga,32:06.3,179,2023
215,Jacob Nenow,FR,Tennessee,32:10.0,180,2023
216,Ahmed Ibrahim,JR,Florida State,32:14.2,181,2023
217,Charlie North,FR,Georgetown,32:15.0,182,2023
218,CJ Singleton,FR,Notre Dame,32:16.6,183,2023
219,Gary Martin,SO,Virginia,32:20.8,184,2023
220,Devon Comber,SO,Villanova,32:21.2,185,2023
221,Luke Ondracek,FR,Georgetown,32:22.1,186,2023
222,Jonathan DeSouza,SR,Iona,32:28.4,187,2023
223,Enock Kipchumba,SR,Eastern Kentucky,32:29.8,188,2023
224,Thomas Chaston,SR,Portland,32:42.1,189,2023
225,Silas Winders,JR,Iowa State,32:43.6,190,2023
226,Zane Bergen,SO,Stanford,32:44.6,191,2023
227,Jonathan Carmin,SO,New Mexico,32:46.5,192,2023
228,Silas Derfel,SR,Syracuse,32:48.1,193,2023
229,Colton Sands,SO,North Carolina,32:52.2,194,2023
230,Caleb Niednagel,JR,Colorado,32:56.1,195,2023
231,Harvey Cramb,FR,Montana State,32:58.9,196,2023
232,Justin Wachtel,SO,Virginia,33:02.7,197,2023
233,Keeton Thornsberry,JR,Eastern Kentucky,33:02.8,198,2023
234,Xian Shively,JR,Villanova,33:03.9,199,2023
235,Jack McMahon,SR,Butler,33:06.9,200,2023
236,Luke Wiley,FR,North Carolina,34:16.9,201,2023
1,Charles Hicks,SO,Stanford,28:43.6,1,2022
2,Nico Young,SO,Northern Arizona,28:44.5,2,2022
3,Drew Bosley,JR,Northern Arizona,28:55.9,3,2022
4,Dylan Jacobs,SR,Tennessee,28:58.0,4,2022
5,Alex Maier,JR,Oklahoma State,28:58.2,5,2022
6,Graham Blanks,SO,Harvard,28:58.4,6,2022
7,Casey Clinger,JR,BYU,28:58.7,7,2022
8,Isai Rodriguez,SR,Oklahoma State,28:59.9,8,2022
9,Parker Wolfe,SO,North Carolina,29:00.4,9,2022
10,Ky Robinson,SO,Stanford,29:07.4,10,2022
11,Dylan Schubert,SO,Furman,29:07.5,—,2022
12,Fouad Messaoudi,FR,Oklahoma State,29:10.8,11,2022
13,Brian Fay,SR,Washington,29:11.0,12,2022
14,Aaron Bienenfeld,SR,Oregon,29:12.2,13,2022
15,Cormac Dalton,SR,Tulsa,29:16.0,14,2022
16,Jackson Sharp,JR,Wisconsin,29:16.8,15,2022
17,Barry Keane,SR,Butler,29:18.0,16,2022
18,Carter Solomon,SO,Notre Dame,29:18.8,17,2022
19,Santiago Prosser,SO,Northern Arizona,29:19.5,18,2022
20,Zach Facioni,SR,Wake Forest,29:21.0,19,2022
21,Brandon Garnica,SR,BYU,29:21.7,20,2022
22,Luke Tewalt,SO,Wake Forest,29:22.5,21,2022
23,Shay McEvoy,SO,Tulsa,29:25.7,22,2022
24,Patrick Kiprop,SO,Arkansas,29:27.1,23,2022
25,Brodey Hasty,JR,Northern Arizona,29:27.2,24,2022
26,Aaron Las Heras,JR,Wake Forest,29:27.8,25,2022
27,Haftu Knight,JR,Texas,29:27.9,26,2022
28,Ryan Johnson,SR,Air Force,29:28.0,27,2022
29,Ryan Martins,SR,Loyola (Ill.),29:28.8,—,2022
30,Davin Thompson,SO,BYU,29:28.8,28,2022
31,Victor Shitsama,SO,Oklahoma State,29:29.0,29,2022
32,Rory Leonard,SO,Oklahoma State,29:29.1,30,2022
33,Yaseen Abdalla,SO,Tennessee,29:29.7,31,2022
34,Bob Liking,SO,Wisconsin,29:30.2,32,2022
35,Creed Thompson,SO,BYU,29:30.5,33,2022
36,Austin Vancil,SR,Colorado,29:33.3,34,2022
37,Kirami Yego,SO,South Alabama,29:34.2,—,2022
38,Ian Shanklin,SR,NC State,29:34.5,35,2022
39,George Kusche,SR,Northern Arizona,29:34.9,36,2022
40,Matthew Richtman,JR,Montana State,29:35.7,37,2022
41,Yacine Guermali,SR,Gonzaga,29:36.3,38,2022
42,Luke Houser,SO,Washington,29:37.8,39,2022
43,Andrew Kent,SR,Colorado,29:37.8,40,2022
