Place,Name,Team,Time,Year
5, Michaela Manova,BYU,19:49.5,2002
6, Molly Huddle,Notre Dame,19:55.7,2002
7, Kassie Anderson,BYU,19:56.1,2002
8, Ida Nilsson,Northern Arizona,19:57.7,2002
9, Megan Metcalfe,West Virginia,20:01.0,2002
10, Sara Gorton,Colorado,20:01.4,2002
1, Shalane Flanagan,North Carolina,19:30.4,2003
2, Kim Smith,Providence,19:42.7,2003
3, Sara Bei,Stanford,19:49.1,2003
4, Michaela Mannova,BYU,19:52.2,2003
5, Mary Cullen,Providence,19:53.0,2003
6, Alicia Craig,Stanford,19:55.0,2003
7, Carol Henry,North Carolina,19:59.3,2003
8, Emily Kroshus,Princeton,20:03.9,2003
9, Ida Nilsson,Northern Arizona,20:05.5,2003
10, Johanna Nilsson,Northern Arizona,20:07.0,2003
1, Kim Smith,Providence,20:08.5,2004
2, Renee Metivier,Colorado,20:26.4,2004
3, Caroline Bierbaum,Columbia,20:30.7,2004
4, Laura Turner,BYU,20:37.5,2004
5, Maureen Mccandless,Pittsburgh,20:38.2,2004
6, Lindsay Donaldson,Yale,20:40.0,2004
7, Carol Henry,North Carolina,20:41.9,2004
8, Marina Muncan,Villanova,20:42.8,2004
9, Angela Homan,Auburn,20:43.8,2004
10, Fiona Crombie,Providence,20:45.9,2004
1, Johanna Nilsson,Northern Arizona,19:33.9,2005
2, Caroline Bierbaum,Columbia,19:46.0,2005
3, Stephanie Madia,Notre Dame,19:48.4,2005
4, Victoria Mitchell,Butler University,19:50.4,2005
5, Clara Horowitz,Duke,19:50.7,2005
6, Keira Carlstrom,American,19:58.1,2005
7, Christine Bolf,Colorado,19:58.8,2005
8, Arianna Lambie,Stanford,19:59.1,2005
9, Liza Pasciuto,Colorado,20:01.2,2005
10, Cack Ferrell,Princeton,20:03.1,2005
1, Sally Kipyego,Texas Tech,20:11.1,2006
2, Jenny Barringer,Colorado,20:37.9,2006
3, Lindsay Donaldson,Yale,20:42.7,2006
4, Arianna Lambie,Stanford,20:43.8,2006
5, Julia Lucas,NC State,20:47.1,2006
6, Kassi Andersen,BYU,20:53.8,2006
7, Aine Hoban,Providence,21:04.3,2006
8, Diane Nukuri,Iowa,21:05.7,2006
9, Irene Kimaiyo,Texas Tech,21:06.3,2006
10, Alissa McKaig,Michigan State,21:06.7,2006
1, Sally Kipyego,Texas Tech,19:30.9,2007
2, Jenny Barringer,Colorado,19:47.8,2007
3, Susan Kuijken,Florida State,19:57.3,2007
4, Diane Nukuri,Iowa,20:07.0,2007
5, Nicole Bush,Michigan State,20:13.4,2007
6, Emily Harrison,Virginia,20:15.0,2007
7, Barbara Parker,Florida State,20:17.0,2007
8, Nicole Blood,Oregon,20:17.6,2007
9, Arianna Lambie,Stanford,20:18.2,2007
10, Melissa Grelli,Georgetown,20:19.6,2007
1, Sally Kipyego,Texas Tech,19:28.1,2008
2, Susan Kuijken,Florida State,19:34.9,2008
3, Tasmin Fanning,Virginia Tech,19:37.1,2008
4, Brianna Felnagle,North Carolina,19:53.3,2008
5, Racheal Marchand,Iowa,19:54.9,2008
6, Angela Bizzarri,Illinois,19:59.1,2008
7, Christine Babcock,Washington,20:01.7,2008
8, Alex Kosinski,Oregon,20:04.2,2008
9, Nicole Bush,Michigan State,20:07.6,2008
10, Nicole Blood,Oregon,20:08.6,2008
1, Angela Bizzarri,Illinois,19:46.8,2009
2, Kendra Schaaf,Washington,19:51.6,2009
3, Susan Kuijken,Florida State,19:57.7,2009
4, Catherine White,Virginia,19:59.5,2009
5, Allie McLaughlin,Colorado,20:01.1,2009
6, Amanda Marino,Villanova,20:02.4,2009
7, Megan Duwell,Minnesota,20:06.9,2009
